test name,total time,computation time,total bytes sent,total bytes received
participants_test,,,,
,0.1402745246887207,0.0035507678985595703,1288,1286
,0.5662081241607666,0.006150484085083008,2570,2572
,3.431328296661377,0.014827966690063477,6431,6427
,13.618194818496704,0.027548551559448242,12864,12862
add_test,,,,
,0.028170108795166016,0.0019447803497314453,387,387
,0.030144214630126953,0.0017898082733154297,385,387
,0.03128385543823242,0.0032150745391845703,385,386
,0.026158571243286133,0.0020592212677001953,384,386
scalar_add_test,,,,
,0.028525590896606445,0.0016987323760986328,386,387
,0.028383731842041016,0.0019998550415039062,385,386
,0.027475595474243164,0.001966714859008789,385,386
,0.02355194091796875,0.0025360584259033203,386,384
mult_test,,,,
,0.46662139892578125,0.011561870574951172,2668,11174
scalar_mult_test,,,,
,0.025724172592163086,0.001683950424194336,386,387
,0.029325246810913086,0.0018024444580078125,385,384
,0.028449058532714844,0.0019545555114746094,386,386
,0.028363466262817383,0.0029151439666748047,386,387
